Evaluation/AverageDiscountedReturn,Evaluation/TerminationRate,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/NumEpisodes,Evaluation/Iteration,TotalEnvSteps,Evaluation/AverageReturn,Evaluation/StdReturn
47.020217600152684,1.0,119.72039173241932,26.776110085137063,754,0,4010,48.1400399069108,14.579262019664316
51.84591900167158,1.0,119.8304265034329,26.757685904938867,682,1,8013,53.25380330769659,17.009282259511025
64.75693591670003,1.0,184.0283534584725,35.385462645173384,545,2,12024,67.10050729900634,23.478757499329152
74.44153645634667,1.0,230.4098324848153,26.760143564446906,472,3,16025,77.57251762079366,25.672888075994614
81.4366713539456,1.0,276.9254965037747,35.67274036145032,431,4,20030,85.2125463735187,27.228009200407694
80.95959312617018,1.0,237.67207146026277,35.63757567012142,434,5,24037,84.65179552656299,25.759486919114263
85.05317383103119,1.0,201.51971425496058,44.556620031703446,412,6,28038,89.146724715296,26.57855355612262
85.85023249700296,1.0,230.61960500721793,35.93679292429824,409,7,32048,90.02121621618737,26.66234067228397
88.25567983756252,1.0,203.25378739229163,35.956721449160995,397,8,36055,92.69310808448934,27.699394851725888
85.339563984345,1.0,231.20182709468457,35.772168149429376,410,9,40060,89.5809392481806,30.490180860744225
89.00471405924377,1.0,268.2495574343607,36.063302856035655,393,10,44066,93.62578270573285,31.271322021491166
91.05271183879347,1.0,240.56937711999808,36.084122574067315,384,11,48073,95.86486138978542,30.691153941060545
91.99895076761425,1.0,248.95675191976702,35.756985207862584,380,12,52083,96.96844163292327,32.5268289488839
89.6988661671633,1.0,248.9091348491893,35.4599595607351,390,13,56089,94.35280055433752,30.099676113871627
91.49695739462982,1.0,222.51515403666207,53.971067798444054,382,14,60094,96.3616247169749,30.92904764285473
90.64448396991851,1.0,220.228520479523,44.75650715525244,386,15,64101,95.34932347169116,28.56795947399202
92.5974614112219,1.0,222.12289007973914,35.656720975293446,377,16,68103,97.56757616483326,30.554806650036657
91.63851251238083,1.0,240.81028166896704,44.69263242204449,381,17,72107,96.5646055626362,32.31574682769518
92.68136684425787,1.0,248.25648732090784,54.60977853622684,377,18,76115,97.70362334506719,31.922416786677125
92.96564235009325,1.0,230.5179749693023,54.211127869085196,376,19,80123,98.01065718264672,31.758064977365144
94.84211041947322,1.0,230.1020104700458,63.81164216133883,368,20,84127,100.03046284461648,29.929870763052616
93.96801387414972,1.0,222.64716775977715,63.284755007837596,372,21,88134,99.06815610071,30.21668614157835
93.0384842587962,1.0,332.7118436122648,63.7871311447755,376,22,92141,98.01438339323991,29.520507430542857
92.67680360693936,1.0,249.25116150906965,63.78951074853052,377,23,96141,97.58094407257967,28.28390102458749
92.61648429413306,1.0,240.92412975108192,63.73888671607917,378,24,100152,97.53448068669175,28.891442580619103
95.3695867602069,1.0,258.4747066523422,63.51677671695367,366,25,104158,100.64560341227234,30.943631331479548
96.24398820838624,1.0,247.98570621333752,63.942231633727026,362,26,108159,101.63497859310907,31.50140817219994
95.28185179812012,1.0,248.43342507952622,63.49811776075612,366,27,112162,100.55168523849433,31.011856309172835
100.01996352650949,1.0,286.26988761912463,63.611301385221694,348,28,116173,106.03016879059668,36.96739250946402
95.93870949428118,1.0,285.48018786678983,63.703789183395635,363,29,120173,101.31048726625247,31.981342783567435
97.75173454693864,1.0,238.3529624624565,63.57541147875236,356,30,124174,103.38569185489709,33.70818697472819
97.9045123702044,1.0,276.1375826824484,63.86531099185807,356,31,128180,103.51392095829019,32.61175018792455
94.35728987489728,1.0,229.413033903903,63.742984251616754,370,32,132186,99.54216865667496,31.476675780564
97.47179166375027,1.0,286.89129317221375,63.791809443254415,357,33,136188,103.08657564719286,34.082202431937034
97.23218525216073,1.0,297.0248203323429,62.9687258789037,358,34,140193,102.83330796562058,34.359933111625374
99.18865638156547,1.0,285.04119326091273,63.72763202294874,351,35,144202,105.03829929532755,35.202621197069654
97.15208260014003,1.0,276.16518306718433,54.6172849652929,358,36,148202,102.70930220161496,33.370750019387906
96.86225086774715,1.0,268.3293233458694,44.91932132116755,360,37,152216,102.4194946589142,34.26504693226731
95.66787666348033,1.0,248.83232183268723,63.761227327594554,364,38,156216,101.0437575315763,32.927738535679666
95.6393263740532,1.0,258.0306969170714,63.54161161294508,364,39,160218,101.08356577443595,34.973686520990675
96.96836996761503,1.0,258.3664610261198,54.10885823534458,359,40,164222,102.51971641977521,33.78326500115833
90.12979433273857,1.0,221.76973259470606,54.609846076998195,388,41,168224,94.75871319260995,27.806157284939733
91.47692059216546,1.0,266.6343456116576,63.85407968156649,382,42,172229,96.35646247929364,31.496996077825763
91.14099275301999,1.0,265.70453879957336,54.447717069484476,383,43,176229,95.9477212386693,30.26135927413433
88.85102188123973,1.0,249.7774514767591,63.62653108187673,394,44,180231,93.35064149689272,27.92408119396412
82.0856369529644,1.0,221.9993398525097,54.585288838572374,429,45,184238,85.74529268613668,20.268771082557386
81.34331128760303,1.0,248.7427323830293,54.28680634673383,432,46,188241,85.0487605466699,25.073039238445084
81.35417072099466,1.0,248.7228083753701,54.688374419390215,432,47,192243,85.04063151499095,24.320147453613494
82.0824022538873,1.0,184.93654643516732,54.018639590138605,429,48,196252,85.79244486870482,22.484240066619993
77.06870139379828,1.0,182.42488196160454,35.82622656661153,457,49,200253,80.25740698367899,18.79030149167569
81.11037371213386,1.0,183.98140939368014,54.17127453598658,434,50,204259,84.72129909456103,22.018877151043927
81.85119790829687,1.0,238.85819098075382,54.36099327881571,430,51,208265,85.51934503434977,21.62869761536034
80.89008525545732,1.0,175.21091553191556,53.94024713139599,435,52,212266,84.41624732398724,19.0267319807232
