Evaluation/MaxReturn,Evaluation/StdReturn,Evaluation/NumEpisodes,Evaluation/Iteration,Evaluation/AverageDiscountedReturn,Evaluation/TerminationRate,TotalEnvSteps,Evaluation/AverageReturn,Evaluation/MinReturn
129.06126721986936,15.585697735469008,748,0,47.308018807227626,1.0,4004,48.45805691262913,26.78154422809584
120.24238359602545,16.008349234518573,722,1,48.972462475964086,1.0,8007,50.212920638929305,26.821708059945173
129.11348913964505,17.474791389220126,709,2,49.862514882964234,1.0,12011,51.17394941348454,26.746250856525506
165.95963070015404,16.9953041504361,713,3,49.57897997979401,1.0,16013,50.86660544865131,26.778204771829376
118.81128338849368,16.74306643076068,712,4,49.629962929438314,1.0,20014,50.916365878768836,26.75421141891568
157.2357129677293,18.27286143651751,691,5,51.08798745139903,1.0,24014,52.47846732065964,26.763500325797345
147.98620440486212,17.56225501085125,693,6,50.95599468602058,1.0,28014,52.325928891056954,26.842216356692862
157.50100040874187,18.08059102160849,702,7,50.327892989821706,1.0,32016,51.67476187198954,26.774812650599273
129.79165694141128,16.95288718169844,705,8,50.10836423249014,1.0,36017,51.423176928440846,26.775089997173758
110.65539813454879,17.78350786295547,696,9,50.88633855716061,1.0,40028,52.257224139359955,26.755524325288476
119.92073189197839,16.6829656103733,685,10,51.574717100545705,1.0,44028,52.961966015575165,26.7996637620264
129.04440434017442,16.745916879672798,694,11,50.941514539142815,1.0,48030,52.29626276297367,26.76985100303959
129.2091005786079,17.61146316870515,683,12,51.69393779281914,1.0,52030,53.10460249698948,26.788936674594915
165.7902966832715,19.43379174061552,673,13,52.46537734824903,1.0,56030,53.95269667018871,26.789957748313995
138.87303269261628,17.503825821667956,684,14,51.714125498843885,1.0,60035,53.12403080156939,26.787687582787193
119.53994985416413,16.875705751364418,691,15,51.124112270066405,1.0,64036,52.491168868502456,26.784876950025186
138.185931721961,18.486127987536914,666,16,53.04181588110603,1.0,68039,54.542739995645974,26.849426726751652
147.69624973358165,19.116694390203833,654,17,54.137151103190504,1.0,72050,55.71127540299581,26.774373482024643
138.12452727392312,18.14511892531044,670,18,52.85122363743983,1.0,76062,54.33549754422201,26.80799417509312
147.70446302297864,19.12776705752918,647,19,54.60110530863968,1.0,80066,56.20291862341052,26.792753768999134
174.5321696710026,20.468512315952147,635,20,55.63515123728336,1.0,84071,57.324230530752565,26.830573832415997
128.7463675306357,18.32291538995686,656,21,53.874374137023096,1.0,88075,55.41914120572477,26.821059402473225
147.1061323641192,19.23502430134645,639,22,55.222971490865284,1.0,92075,56.862741294916354,26.793582555643432
165.4041640922602,19.971089919668508,622,23,56.74739606154163,1.0,96077,58.492148743798126,26.793449136684423
157.08614021645232,20.80470828326396,626,24,56.38382403987971,1.0,100080,58.125287499217684,26.772617538456764
211.07638720017815,21.431878264557387,611,25,57.83314339280267,1.0,104088,59.67498834913285,26.81296125590827
147.77716216099822,20.90189142250345,596,26,59.154311285772906,1.0,108088,61.067047482808,26.849172978804475
138.86681925765376,19.4056579609649,600,27,58.843564962060285,1.0,112091,60.704648918717105,26.85332733189169
157.00988270771487,20.86092351070683,596,28,59.171831122596345,1.0,116093,61.08470440145509,26.852203476534335
166.12318888170853,21.145313254693058,584,29,60.410134311722025,1.0,120097,62.40780262426319,26.852638626960264
193.6314472566699,21.14026796667084,590,30,59.73869921351335,1.0,124097,61.693761764436374,26.868223655789105
165.7535009545701,21.65278787653118,599,31,58.89725015383563,1.0,128100,60.810803974786374,26.855696667845777
175.57990790749258,21.334192207434217,586,32,60.13438346616851,1.0,132100,62.118528666045904,26.804594525814082
175.21772661141134,21.738813486958943,587,33,60.17329008313372,1.0,136109,62.16954294994547,26.868290395851126
209.78640659329005,21.67442870465634,595,34,59.301638219530545,1.0,140114,61.24092283557303,26.763898877085637
156.58398045298526,21.712745448952646,570,35,61.86567183695374,1.0,144117,63.971746491538035,26.805097942528334
157.01448021293118,21.991152571335917,575,36,61.34054786131434,1.0,148120,63.417426509682606,26.80612048472838
222.34175065482475,21.741831031616954,570,37,61.929394664401784,1.0,152126,64.03885381197067,26.8521823257126
182.95562909865163,22.317446676733802,559,38,63.04098688942178,1.0,156129,65.23911168728445,26.891964327946518
212.72257767410477,23.735852417142453,544,39,64.7136201956758,1.0,160131,67.06019159584716,26.816941386538247
182.9113913098317,22.54424004145762,552,40,63.9278674181168,1.0,164137,66.19074427863333,26.923270250016195
184.73904919024548,23.930820824366986,549,41,64.16755021220996,1.0,168140,66.48188337226772,26.814448112293338
148.03186308504115,23.2287850478301,538,42,65.40974272597632,1.0,172140,67.7935448643459,26.779820616232094
165.0514116329319,21.728472899531607,551,43,64.01482816227069,1.0,176145,66.26524494540972,35.39943664192088
175.64975980218207,20.429515286653,563,44,62.69827964916983,1.0,180151,64.83064635630689,26.813584879635336
156.94584406793382,21.982553735575664,552,45,63.83536497151239,1.0,184152,66.07979237288393,26.808206951048312
240.86697889201935,25.91386119381309,526,46,66.91140621109066,1.0,188156,69.47013542757671,35.316086533095636
175.72232789454304,24.45765876763389,520,47,67.65665407434568,1.0,192157,70.2323321838852,26.803419032388277
166.14763321224714,23.670544024942657,533,48,66.04481863645348,1.0,196158,68.4841507928496,26.954037371379343
185.03515937648191,21.89976900308015,511,49,68.90521339822733,1.0,200158,71.51031899171207,26.82895804264392
211.24452291641813,23.551035246864885,513,50,68.68182389940478,1.0,204165,71.30967046957043,26.830837192651174
192.76725931833667,24.438988909283392,492,51,71.55572745513207,1.0,208171,74.4254241637977,26.93778624022302
