Evaluation/AverageReturn,Evaluation/NumEpisodes,Evaluation/Iteration,TotalEnvSteps,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/AverageDiscountedReturn,Evaluation/StdReturn,Evaluation/TerminationRate
49.25692274642243,736,0,4003,110.1290779392309,26.772829826777635,48.06869855926203,15.646424027315302,1.0
51.887424293036304,699,1,8003,138.53316087717386,26.776465335016784,50.546438066441716,17.143715353257893,1.0
52.67764848879871,689,2,12005,129.1005940496665,26.812705453753214,51.29265358387127,17.391595849068786,1.0
54.64556346750095,665,3,16008,137.8198621689924,26.828440422336914,53.15361268665176,17.71157130563746,1.0
56.68946167928112,642,4,20015,147.54507718725733,26.81542285449671,55.060070072713636,19.198679728221062,1.0
58.554972436146464,621,5,24015,148.2036760788393,26.78059578069215,56.80886137055482,19.85982389375533,1.0
60.24140207538486,604,6,28015,147.49682677659953,26.841587286448316,58.37988261030658,20.782388510668927,1.0
