Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/MaxReturn,Evaluation/AverageReturn,Evaluation/Iteration
15.081296151471882,47.75006210178347,26.803012211434186,4008,1.0,742,119.77841083760087,48.913265503209466,0
16.450326597906397,50.47831273525232,26.769520979734345,8010,1.0,700,118.2127851035868,51.80408457175471,1
18.249539502939832,51.205117009520535,26.778149774589394,12019,1.0,691,146.9712245000393,52.60163955854932,2
18.97653341939644,52.23374509781105,26.823629111117043,16019,1.0,676,137.9113381334526,53.69974252556546,3
19.40187238622902,53.98950110593499,26.77474530436424,20027,1.0,655,147.66926286921682,55.56173338755656,4
19.783828335707497,55.491593757655394,26.78045091833893,24027,1.0,636,156.14728783801567,57.15781475760867,5
19.4829696203839,55.837024994602054,26.823318776685312,28028,1.0,632,137.97976827939024,57.517805968750345,6
20.56831839940505,56.574446942981574,26.785569670874807,32032,1.0,624,147.65555134362725,58.32191906122072,7
19.994745256091306,56.17663861205676,26.75842268222616,36033,1.0,628,157.27734230053932,57.88829775470773,8
19.926574662311157,56.79820571536513,26.795202732607667,40040,1.0,622,147.85233258834865,58.54567330956793,9
19.893881706962183,58.5782307451848,26.80337357019367,44040,1.0,602,157.0027790380926,60.432892605096065,10
21.05953627779109,59.37493092934831,26.746368152936412,48042,1.0,594,156.28758006097368,61.30531328804402,11
20.475915359310576,60.09123099129414,26.80866040130317,52044,1.0,587,147.6146192375028,62.054558673680056,12
23.237952714923924,62.36657614396015,26.840599425356913,56046,1.0,565,193.89129829072476,64.54101923322817,13
21.953746931076836,63.495358331399935,26.84525442488515,60048,1.0,555,175.54006812299386,65.71607523502657,14
22.279819184460592,63.562212315791854,26.80590621518384,64048,1.0,554,193.95020454670214,65.79500710605538,15
23.158144441788668,64.30573110848034,26.833150418543692,68053,1.0,548,175.3166460131155,66.61076784980187,16
24.615763358399505,66.90504568560128,35.474041689250015,72062,1.0,527,202.87203410580162,69.4295962001279,17
23.746647279924467,66.6347052817952,26.853698415001233,76062,1.0,528,185.02924548311208,69.11792328328124,18
22.416286096438306,67.6130921189464,26.821120556797432,80066,1.0,521,157.02149959198377,70.1361317174963,19
24.563018136446235,69.07069123429353,26.8608730946168,84066,1.0,509,165.59599801843572,71.7544837189224,20
24.31532680609349,68.96552334776507,26.826208469379317,88074,1.0,511,183.747156761447,71.63451184073756,21
24.287161154222424,69.81861542333225,26.848261214585328,92076,1.0,504,175.3316616865582,72.55100629372713,22
24.274031616548932,70.34490281711449,26.927304836846183,96076,1.0,500,203.58788263965994,73.11611585402609,23
23.45642333936229,72.0571197535114,26.780321494863745,100085,1.0,489,183.98402897654233,74.94114039700096,24
25.57795260157904,72.90479115362852,26.91009319844064,104086,1.0,482,193.92124952294373,75.91081655348992,25
24.757507977452796,74.4863715779109,35.362449601010226,108090,1.0,472,174.98962288874415,77.59871870210793,26
25.28023477734218,75.34081352875296,35.500009313597175,112090,1.0,466,203.8310535117456,78.53705901318979,27
24.513864298614116,75.24312547403834,35.3791972322367,116091,1.0,467,212.9201222128456,78.41041909384668,28
24.352538011484537,73.84240444243532,35.547408618520805,120099,1.0,477,184.97221444370246,76.89167070140265,29
25.292546722947026,76.94529436837064,35.684430459173115,124106,1.0,457,202.8136679587925,80.27638007303419,30
26.07495955820493,77.80035456618192,35.34047520328697,128106,1.0,451,212.52778724374926,81.22394031922151,31
25.257404464128925,77.29883986701374,26.930643396850733,132113,1.0,455,193.85148145496441,80.65801594635637,32
27.1845903261353,79.87996016718841,35.47186198572794,136113,1.0,439,240.04803334215754,83.51409194736567,33
26.60922578076394,79.19158019999519,35.675733277200266,140114,1.0,443,220.81773364598322,82.75179158615755,34
27.55018064627676,81.45538301349572,35.63891097835827,144121,1.0,431,249.54275923803328,85.24255958531312,35
25.261285707817624,78.9732031572913,26.951075033522727,148126,1.0,445,166.78800257013467,82.47754647510978,36
29.375951043073403,82.61369863350396,35.40157814530302,152127,1.0,424,229.92675413757235,86.5601413690838,37
28.0978170756705,80.51870635546457,35.35961379305805,156133,1.0,436,230.79544264645043,84.23746394673375,38
26.63031235666246,81.19497355730776,35.824275510321584,160134,1.0,432,249.39393376731778,84.93044433467722,39
27.782479392134395,84.93300392192361,35.59441797531755,164141,1.0,413,185.55371875705535,89.05010958592486,40
27.4332304707015,84.61135850724229,35.53594988788356,168141,1.0,414,231.08738910762852,88.68592162717532,41
28.30795706033169,84.50347042187374,35.43056365676888,172149,1.0,415,229.1223691547334,88.59589652373471,42
27.38548992736931,83.90187303797366,26.854178326750947,176154,1.0,418,238.99283559622654,87.90996155250218,43
29.277483368199142,84.6811437397619,35.52542460373499,180162,1.0,414,257.542451427216,88.81932606789988,44
26.163259497376362,82.96331286874788,35.47665854584821,184166,1.0,423,203.36300542694707,86.85002122534857,45
27.220166356302766,84.72977205137089,36.038880189265946,188173,1.0,414,184.80710377246282,88.81179660507597,46
27.807778633896444,85.38209036585877,35.80547848024573,192181,1.0,411,269.09223408276233,89.54057134690892,47
29.0562069769389,85.44713055962774,35.70598892276614,196186,1.0,410,259.3281524958141,89.64968539735159,48
27.88477834152778,84.85919084486922,35.793625473719544,200189,1.0,413,203.55312015701475,88.97083024369856,49
29.863728676283024,87.7365812061132,36.00158037004631,204195,1.0,399,258.540656900407,92.18641467962185,50
29.71402061965119,88.22739018206383,35.769653455173334,208202,1.0,397,230.68863974780825,92.72216173525963,51
