Evaluation/NumEpisodes,Evaluation/MinReturn,Evaluation/TerminationRate,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn,Evaluation/StdReturn,TotalEnvSteps,Evaluation/Iteration,Evaluation/MaxReturn
742,26.795292725976296,1.0,47.73624850303838,48.895722582672725,14.884267608391315,4007,0,120.012684596922
709,26.788690783429356,1.0,49.84662096828528,51.147588096115555,16.9408346315354,8008,1,128.5704203837958
680,26.75840948068874,1.0,51.97493867552129,53.39975776341715,17.54675264033384,12010,2,110.69454432423507
648,26.80295400236757,1.0,54.54521375706672,56.13727062824829,18.799991767360947,16016,3,175.59000247145877
615,26.78806347333318,1.0,57.4485319414367,59.257260362173106,20.97542524016753,20024,4,156.83449672454412
595,26.766928873772727,1.0,59.30505703705475,61.21185564945193,20.188776740196737,24026,5,156.88034279709282
554,26.790649426197753,1.0,63.709295590398796,65.94244818841791,21.880062419460632,28033,6,157.03278383554468
521,26.93690212019579,1.0,67.57041710355374,70.16936638253489,25.59300041006818,32039,7,192.8974801052916
