Evaluation/MaxReturn,TotalEnvSteps,Evaluation/StdReturn,Evaluation/MinReturn,Evaluation/TerminationRate,Evaluation/Iteration,Evaluation/NumEpisodes,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn
148.18604902631492,4010,15.726598630613896,26.787203865767804,1.0,0,744,47.64757102423513,48.81590051828834
119.18974035137046,8010,16.39754827257428,26.739383588493165,1.0,1,715,49.42545991608295,50.69523321411066
129.14031204659793,12019,18.271317949912522,26.750957303816534,1.0,2,693,51.073635084092864,52.46356677907575
120.13643162082369,16020,15.986606415730511,26.84858332949181,1.0,3,699,50.57000819796814,51.89195172151618
138.26356195459542,20025,17.012205954227884,26.74896293688414,1.0,4,699,50.59023999519404,51.931395530352155
166.2789396992483,24025,17.519151015092767,26.785703577094836,1.0,5,687,51.41985499352568,52.81386717667566
165.8189387419504,28028,18.12732140220728,26.759804696982563,1.0,6,673,52.52731634336037,53.99217067881208
