Evaluation/StdReturn,Evaluation/MinReturn,Evaluation/AverageReturn,Evaluation/MaxReturn,Evaluation/AverageDiscountedReturn,TotalEnvSteps,Evaluation/NumEpisodes,Evaluation/TerminationRate,Evaluation/Iteration
15.809782990110577,26.766590544999836,49.06350496052807,119.68287610442249,47.88177627307889,4004,739,1.0,0
15.02033760397619,26.73956955358196,49.32427407802959,109.9410417733506,48.141914648137025,8009,735,1.0,1
16.12714269097568,26.762452583414095,48.86411342741384,110.34388465590669,47.68607313441175,12009,741,1.0,2
