Evaluation/Iteration,Evaluation/AverageReturn,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/MinReturn,Evaluation/AverageDiscountedReturn,Evaluation/StdReturn
0,49.524231145433546,147.01651974925852,4008,1.0,733,26.775887085304603,48.3179516927655,15.99173219181321
1,50.2297308767322,110.63056061043616,8012,1.0,722,26.75032852096902,48.99142355435159,15.84252906169069
2,51.40909166881929,138.00790430969013,12017,1.0,706,26.77777759228792,50.09998468182938,16.661075445510306
3,52.23510931058333,119.37071136024083,16020,1.0,695,26.78757408575737,50.88228720699618,16.828144706089976
4,52.83863726858847,110.80524915001773,20021,1.0,687,26.82076086441932,51.44794233122956,17.249246453114186
5,55.747824942954836,147.61770858194703,24022,1.0,652,26.78476478324612,54.16890651449421,19.24991157897037
6,56.695945878047,138.43766931284722,28028,1.0,642,26.805866490471693,55.05960575786026,19.546792727651592
7,58.23197342868517,157.55749281472214,32032,1.0,625,26.801837585301865,56.496328792747015,20.24493952617488
8,58.26900436926469,156.8288409277256,36032,1.0,624,26.812629110059998,56.517128588355185,20.909044263391515
