Evaluation/AverageReturn,Evaluation/MaxReturn,Evaluation/TerminationRate,Evaluation/MinReturn,Evaluation/Iteration,TotalEnvSteps,Evaluation/AverageDiscountedReturn,Evaluation/NumEpisodes,Evaluation/StdReturn
48.66961076696979,119.44876060046478,1.0,26.80252945740903,0,4006,47.5213022462822,745,14.826810380638376
48.30026932880491,137.8437138808405,1.0,26.759867384377106,1,8008,47.15108785907879,750,15.971138443701658
49.006048042150915,147.4137514874348,1.0,26.79909444894865,2,12008,47.81570966765453,739,16.50425520019479
