Evaluation/AverageReturn,TotalEnvSteps,Evaluation/MinReturn,Evaluation/MaxReturn,Evaluation/NumEpisodes,Evaluation/Iteration,Evaluation/StdReturn,Evaluation/TerminationRate,Evaluation/AverageDiscountedReturn
49.67588974083727,4004,26.749989283793575,110.5244414040674,730,0,15.493510352888308,1.0,48.470186866012774
52.50608283836179,8011,26.828777670563333,157.01574392399883,692,1,17.48847696299582,1.0,51.12825044638297
55.51794543255047,12015,26.77061065065466,156.89885294795087,655,2,19.05416193539437,1.0,53.954729426165216
59.11593946544587,16021,26.877664116583972,146.61308707558234,616,3,20.166727456307154,1.0,57.33188629730299
61.49924046365048,20021,26.8566901211014,146.53133306560858,592,4,20.503507037310317,1.0,59.569051361385156
63.68830729255178,24021,26.840372326078548,156.59222707758073,572,5,20.40214135730834,1.0,61.62700284006815
67.30057754948419,28034,26.9179986481694,176.11902253838235,544,6,22.111834166552757,1.0,64.97499672067748
