TotalEnvSteps,Evaluation/MaxReturn,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/Iteration,Evaluation/AverageReturn
244252,240.27503511912468,1.0,380,30.50259480651695,92.12718314096323,44.46787734980049,60,97.04300155803504
248260,229.69602321898458,1.0,388,28.02123171280972,90.28969951934799,44.50326751398446,61,94.93795230512823
252260,249.69878713809985,1.0,385,29.472448348813625,90.7378846790143,44.77730389031333,62,95.47666052968499
256264,259.0471179354744,1.0,370,32.41277324740007,94.26378590643948,35.85889490983564,63,99.4714643096012
260273,231.65117718013533,1.0,394,26.509364592244996,89.02405384975832,45.06774251252631,64,93.50122136499456
264277,222.23497280210609,1.0,385,29.646872960196585,90.80666478358775,44.78056611519888,65,95.55984267920621
268287,222.8342699394496,1.0,385,28.675792583555385,91.00456702790254,44.81326080886814,66,95.74736501495305
272294,276.57140855826685,1.0,369,34.11451873282392,94.53307494252414,44.527835620839404,67,99.82592921580235
276299,222.43949059405355,1.0,385,29.272432347032865,90.83506499381043,35.80989823324401,68,95.57875621420276
280302,265.7664440116882,1.0,381,33.279549398573245,91.58351792400804,35.89912706410339,69,96.53513765648982
284303,231.34621403735758,1.0,381,30.39983347761989,91.68037096979013,35.75656447681027,70,96.54545563146095
288304,257.8220823046848,1.0,380,31.514959059669234,91.82782030374824,35.799336502325986,71,96.74435643641301
292311,221.87841299598722,1.0,382,28.939210656649497,91.59381776029684,45.003581895110216,72,96.40575895082891
296322,277.95128656773016,1.0,381,32.17244620112512,91.8192226303474,44.77734428967007,73,96.7561229078385
300325,231.88038786174707,1.0,380,30.0001836055334,91.94812783065579,35.638966035714894,74,96.82840341114238
304328,249.17159730293446,1.0,387,31.37418789690748,90.29420134084967,35.89272463677129,75,95.04804919655906
308341,240.00254801408929,1.0,369,34.67240277128624,94.59776438180839,35.94201769500179,76,99.92150446506928
312341,266.8079798483071,1.0,387,28.2370788651675,90.28305093782414,35.635521772765784,77,94.9399057312219
316342,296.35813407321035,1.0,373,34.41055742680522,93.40379511773179,35.649682632757646,78,98.58599203962788
320343,267.0044106185458,1.0,375,32.43308285102895,92.9592847024802,35.68096519958949,79,98.02862655666996
324353,249.30597403265955,1.0,385,30.35493941976923,90.9165585183053,35.87040968479278,80,95.7027092658243
328353,268.56745294169855,1.0,382,31.14900033567732,91.3630412666231,35.818580342994956,81,96.22091843825316
332358,277.812162775013,1.0,373,32.66232771480135,93.54864140562675,44.594931030141296,82,98.68555556198031
336358,230.86364271878028,1.0,378,31.430774879801646,92.33105969555852,53.86257656239534,83,97.29643482449931
340361,267.7525243094772,1.0,362,33.616696722454634,96.18905620116101,35.82900136638631,84,101.6486436589975
344369,230.82955884651383,1.0,374,30.31980599711495,93.46281062656494,45.145729477879144,85,98.51399892582951
348381,231.81083182253428,1.0,376,29.838310805081502,93.12087631283948,45.21708657015857,86,98.11981535455708
352386,222.14575231903873,1.0,370,30.589581530106617,94.37576542801912,44.92914518810277,87,99.5344941081419
356390,248.7553758062913,1.0,363,30.489438790225677,96.11684518077884,44.53377165574791,88,101.45891115889677
360393,249.70765031687253,1.0,367,32.02523907285423,95.00170206446857,45.16011200548894,89,100.27445092999352
364424,334.47597460208357,1.0,367,35.25531403670226,95.53883627949253,45.04091728726469,90,100.98022390363901
368437,231.92604357700537,1.0,370,30.85878823162674,94.52495999533129,53.75030838421886,91,99.70697776300304
372438,239.18938429712324,1.0,368,32.33172450116232,94.71089168581265,35.81544633375928,92,99.96184654415107
376442,212.60583749431515,1.0,377,29.45170508564443,92.6683669792331,44.98804926600147,93,97.60925326040851
380445,302.4040958076837,1.0,368,32.31968611085472,94.74442609938856,53.920501952257155,94,99.99700772895837
384449,304.3148457196959,1.0,372,35.32104403169533,93.66942567823322,35.92231780014512,95,98.91376551525855
388464,321.22338919093283,1.0,372,33.29814066631995,93.98369135373464,35.73094961853283,96,99.1861863887375
392472,259.54678717199425,1.0,369,33.463830533617156,94.52721348764031,54.22272660986149,97,99.7976768414282
396477,258.9379745171538,1.0,366,34.68079196865288,95.2100159317135,44.9263230890967,98,100.59686811022291
400484,250.04693317716342,1.0,379,30.32889655214759,92.21988820771735,35.777199649420496,99,97.1397115372885
404484,267.0028115173057,1.0,370,32.4508715803921,94.12413350025763,45.26975960386764,100,99.31767897489117
408488,202.82105104509426,1.0,380,30.132264652128356,91.93995588168997,44.706213764134276,101,96.82657781920737
412489,211.33532667414158,1.0,380,28.433248582511048,91.92364895651535,45.078099655633466,102,96.75479211115618
416493,277.29036901238266,1.0,387,30.550927286310454,90.35726689398871,35.81145561076514,103,95.08991263744566
420496,212.89339265703885,1.0,362,31.760755043492257,96.28622545573236,54.51020429201952,104,101.68982792376971
424511,240.3841058762135,1.0,368,33.03146672501226,94.98522234487028,53.95309613616103,105,100.28889651806803
428518,241.238837077733,1.0,384,28.147299293615415,91.17583167099053,45.14897751831721,106,95.9191827847031
432522,258.93991919298344,1.0,368,35.06423475100159,94.67441564809546,53.99672501373911,107,100.01743499938881
436533,248.14895736384167,1.0,367,35.41210486693825,95.04906438641858,45.20379959134411,108,100.44559686054058
440542,258.22311271280455,1.0,377,30.925138741632125,92.73604779965284,45.1065754418012,109,97.72970379306537
444545,277.69154640244017,1.0,367,34.40626848414134,94.92265264735731,54.00399397575432,110,100.26842362223528
448547,238.10703952293028,1.0,371,31.241387003339977,94.00035782617533,44.78950517957857,111,99.13926636592109
452549,240.66917051060994,1.0,355,32.739909187769754,98.04085612043293,54.18885577684017,112,103.67190532078108
456553,256.4158628903829,1.0,371,29.594316401818585,94.11729017930548,53.810472567072,113,99.21616594187174
460558,250.23643446184153,1.0,357,37.323973360269186,97.38856428279843,44.98727975010393,114,103.11774500860346
464558,259.6237226755779,1.0,368,31.315249540597396,94.72997250276289,54.40727306095195,115,99.94671943514858
468565,229.2677875182464,1.0,364,30.516030300924456,95.89496280862402,44.95831245344202,116,101.21590811358038
472575,323.54397214433897,1.0,366,32.86402368941761,95.37657952201135,54.09419252402457,117,100.7145161706068
476576,258.904918227469,1.0,358,33.18866113929537,97.19528888663702,44.73522817648956,118,102.74830791486905
480581,331.9931820722625,1.0,357,37.99865033666058,97.39044523557138,45.13470482281633,119,103.13935822726538
484595,246.31631977241025,1.0,361,34.9335645950512,96.61611244430314,54.13652359185346,120,102.17063865291617
488610,287.13219866120727,1.0,367,33.96083901619045,95.20302176448834,54.354665242384456,121,100.56423383135463
492612,295.9034641224517,1.0,358,36.22834651549591,97.09569131184395,35.997055449784504,122,102.74834875056727
496617,315.6170059131865,1.0,352,39.330960945382145,98.6735331230023,44.79589545470276,123,104.62067009304933
500634,332.90646019178445,1.0,358,38.798986276118924,97.3664392523772,45.1151236056779,124,103.14496218897496
504639,258.90858787349515,1.0,363,32.970888022867086,96.0115123363887,54.18576562556543,125,101.42605281670109
508651,296.3801712435938,1.0,359,36.90512907548863,97.06408463080676,54.34526471871676,126,102.7341018365637
512658,231.28009011511253,1.0,348,35.45447437582779,99.95193118646023,63.014781724622715,127,105.89958949163596
516659,278.4301356139024,1.0,358,38.09415087653404,97.05686632811127,54.41631269926215,128,102.7727239984006
520661,249.9257776811268,1.0,353,36.52971636654012,98.48565371428802,63.70600364786169,129,104.30384806929527
524663,241.22248282642317,1.0,372,30.902214543710613,93.78797839482188,54.23366047620384,130,98.89119057907104
528667,305.4002604033532,1.0,346,37.26594738795651,100.34841931692996,54.449217687166616,131,106.40894097669899
532669,250.35335807517444,1.0,369,30.57054821033301,94.54393314005854,44.96129121716173,132,99.71798644680325
536677,239.28339991281027,1.0,354,35.404889427287245,98.32284423078745,54.626197098013414,133,104.08346124541757
540680,285.77079921927987,1.0,353,36.149333934099644,98.43717815915635,44.93228026317212,134,104.23791602354088
544681,259.0481642428588,1.0,364,31.632572502027145,95.71702527485212,54.35174960481868,135,101.0531618349479
548682,249.4315656511971,1.0,368,32.74763755623817,94.68859786567907,54.24925057777396,136,99.95052610298657
552688,222.2144882499503,1.0,365,31.397180589255044,95.56527171474778,44.731617084351406,137,100.87960635059474
556698,295.6212310250922,1.0,362,35.12595485149928,96.3018834676328,53.7590653408414,138,101.8249354879873
560710,334.23642015377146,1.0,340,41.387348203433675,102.0408751020912,54.5104669783055,139,108.46964019009295
564721,239.4116609449795,1.0,353,34.86860614718181,98.65062294303206,53.66893040222617,140,104.4296783666724
568723,286.79877867393066,1.0,351,38.282460816906735,98.8601635963861,54.31672847319939,141,104.79289389397584
572724,314.4185247292848,1.0,365,36.64979099585446,95.27529788236126,44.8400002428775,142,100.74044060822658
576729,286.0490959112035,1.0,351,37.490856681426756,98.96670056699182,54.24238046070228,143,104.87953855928244
580734,370.5998863811066,1.0,352,40.84800730475512,98.57653458318015,44.48587876513457,144,104.57616017071217
584734,267.7162522593779,1.0,357,34.41662554578477,97.36370716576953,35.882895454039215,145,102.97950631845974
588742,241.28435730520593,1.0,361,34.79760158617604,96.49471197015136,45.27646659367655,146,102.02770130001079
592748,230.55505410017307,1.0,348,35.40885866126749,99.85784806197299,44.9667205645098,147,105.79565595760253
596749,276.42289787561447,1.0,349,37.25692739303536,99.41444878742026,54.190783906606065,148,105.3705724689734
600754,295.53174364366816,1.0,342,42.16196957312312,101.25930933915302,44.93044395429015,149,107.62884262184308
604765,250.22302086844667,1.0,359,35.31887889912045,97.00225205129594,54.441275797869494,150,102.61264950922184
608771,342.59297456752955,1.0,357,35.83087140858859,97.45167420186557,54.013354707633276,151,103.12723646616072
612777,293.1868046430615,1.0,339,38.22010499827703,102.31030211238034,54.29570925578753,152,108.64309382800856
616790,210.29908035298618,1.0,359,34.16289909714177,97.10946247894022,35.86836504430907,153,102.69255360118895
620794,248.15051467930192,1.0,353,37.64210266969044,98.35865107087184,54.21903664237757,154,104.21219004563278
624798,231.37772892343264,1.0,367,33.53973785622686,94.91944260151578,45.27829608014404,155,100.23645641458852
628811,277.18403183136616,1.0,352,39.89707695591007,98.8083343692961,45.0540544492969,156,104.80049632930177
632813,259.78271031407644,1.0,357,36.304369561555326,97.35197895845752,35.492283847123346,157,103.03712490829302
636815,292.81631813786726,1.0,362,36.85035066699073,95.96637141705092,44.64750882138264,158,101.51981278239319
640826,267.32129298647425,1.0,370,33.071540684549035,94.34881519077521,44.87530455800181,159,99.58755562489371
644834,342.5884956867104,1.0,360,37.565872593479504,96.61518224615162,44.53113000109842,160,102.26444894916878
648847,248.74190144025084,1.0,376,31.413479697933546,93.0224096906324,54.403555762038025,161,98.0622994850528
652854,369.1090571174203,1.0,372,35.896016501109926,93.6804489873887,45.16967822435428,162,98.94028156454681
656856,230.8082237101098,1.0,366,32.743429846141694,95.1353737074968,35.82227502014315,163,100.44984255938525
660856,258.0607743482969,1.0,362,33.711778621482644,96.05891206747657,54.323501212373955,164,101.50707984764827
664859,230.01277979422517,1.0,357,35.47439076344633,97.38474377187963,53.79712218571896,165,103.04455200173985
668868,277.0343826250568,1.0,353,35.47014243690143,98.5965371725472,35.99358335449303,166,104.39044109261333
672868,258.2620930192244,1.0,358,37.117297606623474,97.01094098832695,44.41983867643188,167,102.68913456960988
676871,285.5883419786032,1.0,367,32.757021556347446,94.95639467192832,44.7615435503688,168,100.24697779964988
680881,322.66294571481137,1.0,364,35.05414449260157,95.7995090303824,54.53311829551806,169,101.25966028699041
684881,249.01578609000177,1.0,339,37.82693544416077,102.19260183306787,44.87604031681758,170,108.49583799798117
688882,294.5840186611526,1.0,359,34.72250857078352,96.86921768171533,44.97986966172529,171,102.44072676091962
692886,295.28869454667256,1.0,357,36.6347400028128,97.41393386649509,54.109826910127765,172,103.11449762793107
696888,246.7187702812085,1.0,361,34.94080378889189,96.36568719278996,54.17841575244329,173,101.89073930907033
700897,333.7013617912615,1.0,360,36.30878416955361,96.71749340680307,54.65095477607656,174,102.32886078029571
704901,267.7621055231161,1.0,355,35.29232915830831,97.98394008753002,53.84905383061242,175,103.70088985943784
708905,287.11313369643653,1.0,348,40.02856072296975,99.6783419294828,63.56354172573214,176,105.77368894612769
712905,238.84785948843552,1.0,351,33.98376692111108,99.01882254274571,54.70447136184539,177,104.80578994997978
716907,296.9929521309272,1.0,339,40.154599883141415,102.18737221806738,35.83693200825482,178,108.58083332563672
720912,267.74163777790926,1.0,350,37.76749611399366,99.25743005507813,54.222889811045675,179,105.21182722415372
724916,277.89928838844696,1.0,344,39.240826072238114,100.82253226841935,63.34595906637111,180,107.01919869568228
728929,377.5959387671791,1.0,351,40.20685601728422,99.0630709778808,54.597635961388846,181,105.09106588020902
732936,267.32309037700423,1.0,359,34.14796586887255,97.03917980147867,54.059601424524715,182,102.60755696512942
736941,240.10788735606857,1.0,354,35.27365381839237,98.25024143041068,53.907638086589216,183,103.99812211521783
740950,267.42516561219435,1.0,354,37.87039759751839,98.28263173412867,45.10203938811784,184,104.13226830811232
744956,229.71357735089026,1.0,355,34.28341814711009,98.06545082999516,44.98155789161503,185,103.75458565978714
748957,268.2245164041446,1.0,341,37.974689000658394,101.66393458249935,53.696243758501616,186,107.90906134098496
752958,258.87236159462896,1.0,343,35.16373606345876,101.18899908543042,63.46113443140235,187,107.26929119285239
756963,312.1779025166614,1.0,346,38.90436342694607,100.35055514844723,63.458203329953896,188,106.47307795059866
760967,286.841561351818,1.0,356,37.063071426057505,97.61218962568817,54.34814062619468,189,103.35536731188446
764969,222.29874502876854,1.0,348,34.05554628954014,99.86956068878379,63.822870990228175,190,105.7577256497458
768971,305.37323866139303,1.0,345,38.29762387867238,100.49106290359104,63.493777759712344,191,106.6122971655822
772977,277.27812635914154,1.0,349,38.16190272932374,99.5520268377732,63.54988227613444,192,105.55460560941631
776979,256.8457362621066,1.0,352,35.66553042048232,98.71579129724655,54.21004557807516,193,104.52982847405383
780979,287.482573378146,1.0,341,36.69658388378432,101.69421805346019,44.83366557252763,194,107.89126118104363
784993,268.3645975211986,1.0,351,36.25839957765555,99.24631855641681,54.230842526622624,195,105.1430707088511
788997,238.03577099622078,1.0,345,35.84908266372787,100.677709602166,54.35467632980897,196,106.72525874227568
792999,277.45906964886166,1.0,343,37.558538327469535,101.1289225470872,54.44500194777102,197,107.29357893868993
797008,266.87005298123887,1.0,341,36.48515982619824,101.88964665972414,53.97638159326649,198,108.1017527041713
801012,276.6066617191189,1.0,330,42.90653293179528,104.74894779545147,63.503418835040904,199,111.57188747551704
