Evaluation/Iteration,Evaluation/StdReturn,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/NumEpisodes
60,34.90802622801882,101.8153823183295,244312,1.0,96.30932138233736,361.32403524069343,54.09317024215372,362
61,29.786328772537935,99.88457332941293,248320,1.0,94.71638533492333,241.24090177011212,54.41867956540653,369
62,31.356945311356018,100.83035942662326,252332,1.0,95.52627928302547,259.1747434878928,44.85022523091321,366
63,30.769119567921067,100.82589926715663,256332,1.0,95.53964964239326,268.6636674596448,63.48815283195729,365
64,31.194950344266612,100.65316682746659,260337,1.0,95.36990716918449,258.44757242598973,45.19072016221636,366
65,30.89101963827269,101.05525876509597,264358,1.0,95.74128612204672,239.37596305035424,54.3044867827977,366
66,32.863006774847605,100.61308565513268,268362,1.0,95.28329969793347,267.94936976391676,54.18644900564415,366
67,32.42816268441395,101.03698164654288,272372,1.0,95.67814326403251,248.89140487811335,45.288890997429675,365
68,30.55408914801868,100.91731219696872,276376,1.0,95.62758592929757,248.59065252558867,63.7002215909789,365
69,33.14510113132672,104.16098664128707,280384,1.0,98.46767096254575,230.9259632795543,54.55626313642638,354
70,36.90655829935597,102.97768940436637,284392,1.0,97.28073438060886,295.06799259062416,45.229531114732396,358
71,37.13932787158232,104.626991994547,288396,1.0,98.75572500812763,287.18062021245305,63.66710233090408,352
72,29.65555119678193,99.2248361984932,292410,1.0,94.1244023524678,238.87224492800206,35.94858090759983,372
73,30.09385330489424,101.36389105277297,296412,1.0,96.04038752339987,220.0949626461884,63.434086348128396,363
74,33.98424801910696,101.96706601310909,300414,1.0,96.47132559898134,295.9136922222393,54.73001752184153,361
75,30.574911258302087,101.81555247033685,304421,1.0,96.4358296648765,276.6745042691007,54.04769980047796,362
76,33.395047447411635,100.42292480515385,308429,1.0,95.096687753763,268.7271487477241,54.316456142932125,367
77,30.621096285655117,101.67718247908839,312442,1.0,96.30924468200398,268.39948932991166,54.6302626157029,363
78,32.83101311818395,100.82690696138133,316443,1.0,95.478664480721,268.4333724314696,54.603475453106974,365
79,35.69273704968163,104.16514718689791,320451,1.0,98.39074162493382,296.27860990019127,54.56363809459863,354
80,29.327957119921948,100.9506675185193,324458,1.0,95.69107538073253,211.6929486152242,45.18132368403205,365
81,32.56524616641709,103.264762394143,328467,1.0,97.67738801442422,222.42223507805102,54.28505991175214,357
82,37.867023507192,103.53933299137044,332475,1.0,97.75034091722873,304.9988586553588,45.08689399783854,356
83,35.74311687701183,102.95848153764854,336482,1.0,97.30488684105899,285.94343727901025,54.15525436237193,358
84,37.52514458831109,104.14760322243806,340490,1.0,98.31499419085524,352.69617680644524,54.046159686285,354
85,33.82877040800716,103.69556134829355,344491,1.0,98.02821841334065,230.01429384017422,63.67898759426564,355
86,34.57189705464662,107.32516225707165,348494,1.0,101.25703303159601,231.06790421159718,54.86674172462462,343
87,29.9359029496555,100.61765180436217,352498,1.0,95.37378134966335,220.57157814735749,45.02419810392652,366
88,32.62295214472854,104.91189379535305,356499,1.0,99.15935459413257,239.19776193186613,54.544604172837964,351
89,29.61055823793469,99.75674109919538,360502,1.0,94.60591262015774,213.25419858717572,45.32940612281842,369
90,35.88067799623076,105.4409942720816,364503,1.0,99.52731145495146,250.08682145869426,54.45222413076456,349
91,31.65664170300151,101.6975461351268,368505,1.0,96.29898749464385,257.876355813467,54.725736786592115,362
92,35.144941597683435,105.53534306042918,372509,1.0,99.63661442299285,231.10895739523625,54.06550533887199,349
93,33.51139435875158,104.83182740685001,376510,1.0,99.06008099494296,277.7218511757288,63.318209515644845,351
94,32.36732517969242,102.49338267530925,380512,1.0,96.98948190709453,221.8762415843877,54.04225575412186,359
95,34.244638918849155,102.88342452739143,384516,1.0,97.28442957018314,248.32035807050494,53.81026527910842,358
96,32.62588818777577,102.09294410947264,388524,1.0,96.62161733986696,256.5211063722193,35.89338799103224,361
97,32.78918438731399,103.84219784925985,392533,1.0,98.19304856166872,278.64461952447846,63.82838576725483,355
98,36.747186638542786,105.86388779519123,396539,1.0,99.87798767024191,296.5835850680645,54.642967223791814,348
99,37.49684745741518,106.58966669901196,400548,1.0,100.50687394126415,296.90112816301115,54.78765098599686,346
100,33.71396734368719,104.63064599180302,404550,1.0,98.87253692964276,239.73758929771355,63.59542873162746,352
101,30.16606429957589,102.02061005340536,408553,1.0,96.63316538479629,249.1965795949611,63.77229701691091,361
102,34.97182910260539,103.72205254088746,412555,1.0,98.01606405723535,286.50731038676514,44.93057060321398,355
103,35.60712375418756,106.92523138627404,416564,1.0,100.86592082422314,231.77701491537562,45.04433485388361,345
104,35.998521158175286,105.6182508361,420573,1.0,99.68157282028369,240.5442456200231,63.83181071481395,349
105,31.590940668429422,103.41277664197366,424585,1.0,97.84453405060974,258.0681116070613,54.100944818309515,357
106,35.86690962453207,106.10155690585688,428587,1.0,100.12527826500863,351.23296193240384,54.908546639997745,347
107,29.641048267471824,102.85800219902244,432589,1.0,97.4004493519267,239.3042099231612,64.00288820833143,358
108,32.7324079150584,102.58076012700504,436592,1.0,97.06359588333298,287.7212949634021,44.51706000571503,359
109,33.19989989128196,105.84424169817163,440596,1.0,99.97462448987773,250.46753540533712,53.927216831178455,348
110,32.983716096564024,103.12932623262648,444599,1.0,97.54554486206439,276.44835805994916,54.066327157852925,357
111,34.64213588600608,105.6530807205998,448607,1.0,99.75949736438442,238.6630327507783,63.811166448981474,349
112,31.927764990123784,103.80768004069621,452613,1.0,98.18728217385181,239.92498228396659,45.21791871606152,355
113,34.935901113153555,105.31386784056659,456620,1.0,99.45067350106633,324.2849219794407,63.381288672248054,350
114,31.74572669737985,103.47982368232456,460624,1.0,97.89801390606651,220.66613541138122,63.620367802820475,356
115,35.097431023410515,108.1264863755762,464631,1.0,101.95907580505926,258.2996675189741,54.716996670146976,341
116,33.9507951742827,106.03645215079851,468641,1.0,100.12670964807668,256.87955588637533,63.65059278077959,348
117,31.82276604007627,103.12066210089696,472643,1.0,97.5757205961634,295.37036686064334,64.00307416146113,357
118,35.07372736244301,103.51674405298056,476649,1.0,97.83067087893855,313.8721714265949,63.56922954732869,356
119,34.390806865428765,103.5745779563835,480657,1.0,97.90350057542808,314.61415376863647,54.86971166471233,356
120,31.155010492969797,103.33907920676371,484667,1.0,97.78850176356731,228.95651223981295,63.684824014122654,357
121,30.23004008981187,104.60949185361966,488668,1.0,98.95775124791794,213.22593714532087,63.71859294777602,352
122,30.281781243827655,103.09417667073582,492679,1.0,97.59521909245167,230.48701778564066,63.92358024882054,358
123,29.636663171000176,101.77461698883663,496685,1.0,96.42424132377185,203.30255302100844,63.81856373351495,362
124,29.954250810675067,102.03516712019986,500689,1.0,96.65216641898293,248.54873669692935,53.89804304864707,361
125,33.56417838832197,105.18754904879694,504691,1.0,99.37503282935812,249.95872359727142,63.86364695959215,350
126,33.29375825532683,106.58572305493364,508697,1.0,100.63981576057377,240.23352266503454,63.56342934948354,346
127,32.67988373229787,103.89116511340143,512706,1.0,98.23882055552434,239.37429546656006,54.26406206215516,355
128,31.750906581502523,102.86987140020929,516709,1.0,97.34975777024229,259.38878322980344,63.60865418269526,358
129,30.68513266675257,102.52762956388857,520721,1.0,97.07429240133231,295.85349203219516,63.64860341165934,360
130,29.1379998390708,100.67765279758787,524727,1.0,95.44986897494736,221.8246722924802,44.73941822614946,366
131,31.372409132664075,102.90073429119781,528731,1.0,97.3911731310746,276.52479351451507,54.65647734734687,358
132,30.72222756847732,103.40862149386619,532732,1.0,97.86375988669153,231.3200663674347,54.8141484472706,356
133,28.732857770211847,103.67258032060342,536743,1.0,98.15836713320658,230.6492599290095,54.606749716656296,356
134,31.16222060232201,102.56562346044446,540746,1.0,97.09433759723302,258.0183402030945,63.71674176388875,359
135,34.002726248651165,103.41317382383629,544747,1.0,97.77125449193997,286.6626139671078,63.82790626830959,356
136,34.599870443991996,103.2547377281406,548766,1.0,97.60868733319418,330.9019238004012,63.9310536059528,358
137,29.241257525553568,102.95068884430279,552771,1.0,97.49727319490766,249.22796410550814,63.502049025800574,358
138,30.03474472057358,101.8131530373677,556788,1.0,96.45079051769414,277.3838334765654,63.76698828032658,363
139,30.32221293394057,103.98480463809335,560789,1.0,98.39425453312758,222.10357980330554,63.97672598537348,354
140,33.540064126887145,105.97261005012979,564796,1.0,100.08178969132672,267.95672341682956,63.94118687439864,348
141,31.5951530867599,102.53818699303397,568798,1.0,97.05585250453352,248.87304621841486,63.37823557728389,359
142,31.207089648633545,104.34172219828177,572802,1.0,98.68815684122059,230.10451778119443,63.42183294875254,353
143,32.44826402784692,103.75472473643934,576806,1.0,98.12560130892552,240.5349227133315,63.51599155791275,355
144,34.939998400142436,105.97842520603791,580815,1.0,100.04389487705774,287.2431952450453,63.844974412395295,348
145,30.963585830822883,104.11014677472673,584822,1.0,98.4852214360266,240.49488600541676,54.425724894597124,354
146,34.84416056968372,106.40959446357292,588823,1.0,100.43349345338116,267.34625957401647,63.60329819183882,346
147,32.00260303800871,102.74514942722381,592831,1.0,97.2325697078535,275.9836791690734,45.06003138541857,359
148,34.14773552322913,106.29216541672454,596839,1.0,100.34672888995078,221.2686931075518,63.71305712630976,347
149,32.99900760799986,102.38170488291274,600845,1.0,96.87512548258742,294.12892359369727,63.822824155818324,360
150,35.70905799712528,105.49568772217539,604848,1.0,99.58175437406186,240.83626129370813,63.67799175612753,349
151,31.955668365844378,101.39638657385738,608850,1.0,96.01955356445144,306.14114342967787,54.78629278643209,363
152,31.777302034212493,100.83297870713427,612863,1.0,95.51506648608309,259.4754663158356,63.45012114062667,366
153,34.638879030369004,103.2690238732286,616871,1.0,97.61933190557939,250.22249718440588,63.74774395401734,357
154,31.9445209248203,101.50142354676791,620878,1.0,96.11175650010547,240.7181698291816,63.25144591778511,363
155,31.95782407632304,101.45109650859176,624882,1.0,96.06339645073173,222.2173312781553,44.524591831972366,363
156,34.91382136804978,105.75085252522851,628883,1.0,99.83694958114832,268.216272562297,63.35969121611886,348
157,32.33627277559953,102.01451654302961,632899,1.0,96.56103955214184,259.36301444116384,63.28521345591347,362
158,30.363531935164023,100.14615153250195,636906,1.0,94.93731206402141,267.90957110022856,63.640743750108484,368
159,32.60535525781299,102.01719427735048,640921,1.0,96.55832676787162,283.90940344111135,63.3751220070636,362
160,33.49699129260809,103.91145720197103,644931,1.0,98.2335204286566,250.3582164909221,54.35656573346142,355
161,31.899151947924633,101.41654428461274,648934,1.0,96.03561877022177,257.9905383396897,54.28663116544074,363
162,35.58613442127662,100.84467530245354,652938,1.0,95.4070891525289,332.7511520127381,54.125304578839064,365
163,33.362375451317426,104.92955675858519,656953,1.0,99.14999901221977,240.63807919360121,45.025737826280476,352
164,33.932315403108326,104.92245039962455,660967,1.0,99.12545645456608,238.85911803021816,63.68460396815383,352
165,34.504431914182796,102.42613872175158,664976,1.0,96.86498684849438,259.44739658868866,63.541951959034826,360
166,35.70517080576306,104.4406111287488,668976,1.0,98.63205905220556,257.01113510818266,63.48229865199058,352
167,36.43494266389029,104.32953067903254,672980,1.0,98.51307938276237,296.4189380625412,54.69644302716601,353
168,35.87724515308498,102.57806756677041,676985,1.0,96.95217547360035,249.5404590674895,45.112033173986376,359
169,34.47236138655535,103.94321578974062,680987,1.0,98.22898094511926,267.3168752143189,63.34747683393864,354
170,33.95619398108424,102.42861408335442,684996,1.0,96.88734605718798,295.4087783851943,54.04923146667568,360
171,31.46367374604089,100.46687506648922,689007,1.0,95.19252614744323,230.13231824988924,54.50717929283384,367
172,36.23558544805996,105.10345651384085,693008,1.0,99.21147137435453,267.66531524897357,54.75445433783782,350
173,34.4903587797728,105.10606062488718,697009,1.0,99.27084901644065,266.3443295886916,54.205507704643125,350
174,36.86088946825872,104.56199895851411,701014,1.0,98.69982128582929,258.8914903017112,54.291401716393246,352
175,37.19733433032203,105.58298424122843,705021,1.0,99.60934969666307,296.5516155117479,54.38221450678261,349
176,36.50910492724045,104.48234031673525,709021,1.0,98.64510743298491,277.81518553341397,54.664535687028575,352
177,31.07113074274801,100.55560363052048,713025,1.0,95.28342193889335,258.2559827872632,54.617745623045984,366
178,34.25356961031357,104.61506301660758,717031,1.0,98.83686795731505,268.2533430340696,63.64095090428085,352
179,35.86952687061506,104.79942986455085,721043,1.0,98.95008615679048,240.6183277723412,54.09770101485996,352
180,36.1521847718011,106.22667854939147,725052,1.0,100.22072935489157,295.53466469707803,54.416211978814445,347
181,38.3784628553002,108.78177802110272,729063,1.0,102.42998654660964,294.66325209974354,63.31093503399476,339
182,39.102497380570355,105.56147074545981,733070,1.0,99.52068627513137,286.8904327035571,45.158397072696594,349
183,33.24034796771402,102.45181919318958,737081,1.0,96.92806264232289,258.1015395211067,54.40536964468064,360
184,40.42561912656747,106.68137635800699,741084,1.0,100.48040693757153,359.6250616909446,63.81635547633482,345
185,36.14377503137917,107.2308720688186,745084,1.0,101.11910627152561,267.9412440946671,54.727263437603085,343
186,33.95556657136198,104.0184886689248,749091,1.0,98.3084918847495,239.53559836107195,63.47857721898334,354
187,36.59984170853292,106.00568591941649,753091,1.0,100.01252165147156,304.8986964117074,63.53797755211186,347
188,39.20510119246789,107.74088436513459,757098,1.0,101.4700618412278,248.73502757170465,63.35985235530212,342
189,36.40749830159501,106.78544904788761,761106,1.0,100.7131500517935,265.29453158877544,62.96678586541825,345
190,38.25018599848168,105.2110915273408,765111,1.0,99.24098518445331,343.04360281815315,63.771247227442835,350
191,32.88637224583014,104.75367391904484,769121,1.0,99.00655498030231,258.59661629538914,45.32424278296937,352
192,40.103479610092606,110.88178965253601,773124,1.0,104.24153330774915,286.0337259696858,63.57910602068449,332
193,37.95016548305437,109.57300444744315,777138,1.0,103.15478014722721,295.7592016296643,54.545043182518896,337
194,38.46694543885991,108.33550520558158,781144,1.0,102.02981644496185,323.39633911550806,54.37339436067349,340
195,38.21273807200564,109.07593152040013,785153,1.0,102.7003035845362,259.02999911386337,35.94463441158007,338
196,42.95164509860662,112.09922810345029,789162,1.0,105.22115201567505,313.9371853229232,62.49239073914879,329
197,35.33289197581233,107.61040009005424,793164,1.0,101.48972890765243,315.11901400426655,63.773249672827646,342
198,41.55418882863991,110.5021180313806,797176,1.0,103.85222463005802,342.14833621975964,63.490369628243315,334
199,39.66112227738817,110.59450475028271,801181,1.0,104.00387802619063,295.6653077311068,54.548574333533665,333
