Evaluation/AverageDiscountedReturn,Evaluation/Iteration,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/AverageReturn,Evaluation/StdReturn,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/MinReturn
47.861336335908156,0,110.63226732684547,4008,49.029648518371026,15.035529646834267,1.0,740,26.766582746107606
49.89927815267452,1,138.20955487881406,8009,51.19901417762324,16.711924594158727,1.0,708,26.73445587077513
51.70969006519106,2,157.00600315517147,12010,53.13771347101527,18.505129097331075,1.0,683,26.766481867958554
52.16741756608807,3,129.23620216991424,16015,53.60382375215202,17.63077951156117,1.0,678,26.768204531147603
52.37909394990755,4,174.95775786141024,20016,53.85515493208966,19.069691199602786,1.0,674,26.80555976299302
53.991737727537156,5,147.14667688380095,24016,55.54407007196225,18.388895935093988,1.0,654,26.779761824070658
54.03041910122547,6,148.1321718842538,28020,55.58435743458233,18.355073553270426,1.0,654,26.78377828195127
56.991226588940854,7,166.10036286113677,32022,58.7815283308532,21.401863673573985,1.0,619,26.817830393238232
56.432072995469845,8,147.81100136953026,36027,58.14355855809684,19.257134438925597,1.0,626,26.80225903065475
57.316238694467934,9,166.018012975195,40031,59.087857735115925,19.584097093195698,1.0,616,26.77677583827493
58.94999174054962,10,166.48825662585017,44031,60.842976457865056,20.568620216214303,1.0,598,26.81149487950556
59.499215625199604,11,165.19432657517143,48034,61.43225173165856,20.857652831487066,1.0,593,26.827725187895666
58.94165083989588,12,146.33522172255198,52037,60.82139964784819,19.98472710975449,1.0,599,26.762927406086607
62.035617814147166,13,230.56005549874183,56040,64.1928590256897,23.487127260415214,1.0,568,26.856472030195572
62.89790484493492,14,148.16952519516548,60045,65.06941780071108,21.59114571988374,1.0,561,26.916361324496066
61.30776140858806,15,129.2268860947476,64049,63.32425484507098,19.28053896631776,1.0,576,26.820881931597224
63.268936314992956,16,184.50705069909978,68052,65.49415534762706,22.807063891150825,1.0,557,26.82287662777825
64.27266326705073,17,184.37660182683683,72062,66.5838170239063,23.53304890709074,1.0,549,26.877435033367007
64.92355964340221,18,156.723566527933,76068,67.25755980227562,22.567213594643896,1.0,543,26.843662512828484
65.67910159329756,19,202.62552518930974,80069,68.09214886265188,23.67175499712232,1.0,536,26.731813004433842
66.80356422002913,20,185.28945590869878,84079,69.31001193003678,24.184577927756067,1.0,528,26.861730967788535
67.59283836433922,21,192.90162981826526,88084,70.1486889695307,23.837443200064858,1.0,521,26.990441699666412
67.74692073277527,22,211.36120810057128,92092,70.32668357081066,24.3652131141872,1.0,520,26.83957523825064
69.52405807506713,23,165.55481254248616,96094,72.23308021641564,24.21158660472965,1.0,506,26.77645740590456
68.46032207418993,24,259.0749286541074,100097,71.11010633112974,25.083932269290106,1.0,514,35.33283071453265
70.72506492803382,25,175.7288005009999,104104,73.50682815539494,23.491130021821654,1.0,498,26.872640739984924
71.46015224188697,26,220.62017256163838,108105,74.32015693774754,24.35768054256835,1.0,492,35.47602756734771
71.93321650401376,27,175.6357097801424,112105,74.79008990813793,22.748186082926313,1.0,489,26.80192407413481
73.89083288698528,28,222.5578523676227,116109,76.97064780577773,25.433519790323526,1.0,476,26.763045607340594
73.92186630714149,29,191.9168222040255,120113,76.968621713317,24.018936332444817,1.0,476,35.48393334759795
74.13088288848247,30,184.01967849577287,124115,77.24542289401802,25.910416991672786,1.0,474,26.906453873416847
75.27952953592725,31,202.57801140182784,128117,78.4245361919856,23.49801488284641,1.0,467,26.992326661626123
