Evaluation/Iteration,Evaluation/MaxReturn,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn,Evaluation/TerminationRate,TotalEnvSteps,Evaluation/NumEpisodes,Evaluation/MinReturn,Evaluation/StdReturn
0,137.75170550978268,47.32055260567617,48.459732144930406,1.0,4004,748,26.778315280437074,14.863147981414535
1,129.1970489241371,49.494155333919515,50.76472206292393,1.0,8010,715,26.778409461542168,16.235883108098243
2,156.26595829986982,52.448605752166266,53.92110451381252,1.0,12010,673,26.74958213661985,18.704151149613256
