Evaluation/MaxReturn,Evaluation/StdReturn,Evaluation/AverageReturn,Evaluation/TerminationRate,Evaluation/Iteration,Evaluation/NumEpisodes,TotalEnvSteps,Evaluation/MinReturn,Evaluation/AverageDiscountedReturn
110.40221586298622,15.6788949992332,49.87560584061588,1.0,0,727,4003,26.754508542248885,48.657455260638145
119.87897761219614,16.610531280633406,50.941128282913006,1.0,1,712,8007,26.756604920926286,49.65544288633784
138.3545945059308,18.81474319417696,54.433105626522746,1.0,2,667,12008,26.7618492902593,52.93156825364686
138.5210679397661,19.01639238717276,56.636206656511675,1.0,3,642,16011,26.866938069505395,55.013070420664675
