Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/StdReturn,Evaluation/NumEpisodes,Evaluation/Iteration,Evaluation/AverageDiscountedReturn
110.80187910258101,26.77362835079741,48.98713833966743,4004,1.0,14.933798257076333,740,0,47.822492423829004
109.31981845227021,26.776963056616566,49.00555295362198,8010,1.0,14.791373062820384,740,1,47.84145274769107
138.132695685677,26.772690283992333,50.622450324887424,12011,1.0,16.78472435915961,716,2,49.34971057245292
129.46054090095222,26.788553575444496,52.354104920369174,16012,1.0,17.708115248014472,693,3,50.97994241906345
119.27061730471296,26.73410186745612,53.585972092001924,20017,1.0,17.70863785253748,678,4,52.14884089627725
128.7425134282187,26.764079844738543,53.46964609818294,24020,1.0,17.698398972265633,679,5,52.038442863494396
166.17189505082152,26.857890253347307,55.70964783509934,28020,1.0,19.374793536264534,652,6,54.13017447878754
147.59816686665624,26.754002881118957,57.3187893913026,32020,1.0,19.804312892592424,634,7,55.64278825069906
138.04957181728545,26.765471613698494,56.09618767690949,36022,1.0,18.81914782981114,648,8,54.50604193698746
156.63035202738632,26.778765041581522,59.01136438033983,40026,1.0,20.792530892350914,617,9,57.22035039074855
138.00216055655457,26.860226256938176,61.385692867441875,44027,1.0,19.773999646376236,593,10,59.47691258898135
193.24172154658314,26.811419677389154,61.88658117879422,48031,1.0,21.431362427516763,589,11,59.91441550495904
147.8090800853579,26.802028482316324,63.259848104376225,52032,1.0,21.247354885817494,576,12,61.20776850876195
184.83520211966888,26.826938080642364,66.95231555163255,56033,1.0,23.174649109280292,545,13,64.62606088615182
156.99339381901927,26.891007294841582,67.47632087104647,60036,1.0,21.306360808349833,541,14,65.15595841799643
