Evaluation/MaxReturn,Evaluation/AverageDiscountedReturn,Evaluation/TerminationRate,Evaluation/StdReturn,Evaluation/NumEpisodes,Evaluation/MinReturn,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/Iteration
101.58497509871884,47.61239219021093,1.0,15.486083719553294,743,26.77058874834675,48.77596997257198,4004,0
129.40168939495823,48.2977040522957,1.0,15.992575876496913,733,26.79303396007907,49.50329798260913,8011,1
110.7611474928092,48.33259360882336,1.0,15.748964026470482,732,26.832040098912657,49.53570795004752,12014,2
137.93091836231451,48.43439075275037,1.0,16.218756654643116,731,26.80028891933152,49.65050991681523,16020,3
119.98258042862042,49.09644846087966,1.0,16.287782969746306,720,26.815783207786602,50.34766221866322,20023,4
128.16408367035322,49.577833107491465,1.0,15.908099470141897,713,26.781396750338345,50.84678732121326,24025,5
119.51361873224653,48.39486263015884,1.0,15.533744189367916,731,26.819531227952712,49.59799525190621,28028,6
128.6235204094227,49.18639321601084,1.0,16.0127334928805,719,26.770959603819627,50.43722191960336,32030,7
110.84445463337738,48.312202754654656,1.0,15.515441034046482,732,26.760462664529072,49.51084956615319,36032,8
137.9648116260665,50.271431035195086,1.0,17.183693320977678,703,26.794042716756586,51.59892324629056,40035,9
119.6060727557432,50.06232171009344,1.0,16.599900260100597,706,26.76255538628959,51.36825083489901,44036,10
138.82430481839302,49.80708869703589,1.0,16.837018982741043,711,26.752612345782154,51.10419663974203,48046,11
138.03535459164368,50.711396587029014,1.0,17.45500762351282,697,26.810358410777663,52.06711044809019,52050,12
175.4670208113009,52.02114156925099,1.0,19.06169469075768,679,26.79451793202255,53.476554146499,56052,13
119.94304315684471,51.71982949223456,1.0,17.018080994198172,683,26.775463938832523,53.12110391361143,60053,14
138.07989473322039,51.590054102146006,1.0,18.021326426458348,685,26.752601913356287,53.0025682497286,64055,15
