Evaluation/StdReturn,Evaluation/Iteration,Evaluation/NumEpisodes,Evaluation/AverageDiscountedReturn,Evaluation/TerminationRate,TotalEnvSteps,Evaluation/AverageReturn,Evaluation/MaxReturn,Evaluation/MinReturn
16.037044351209882,0,737,47.998928796456624,1.0,4004,49.19028732332342,147.82611585641328,26.845294545372123
16.790539132533976,1,708,49.93548852238691,1.0,8007,51.23841684433927,128.62764355735928,26.74137514917244
18.260703670386693,2,683,51.74004492627728,1.0,12010,53.1653620789529,166.34969851434488,26.7558249485455
18.948192455041433,3,647,54.566751799156386,1.0,16010,56.16274244295969,128.98145618189318,26.78542538614368
19.038744024006647,4,610,57.88040160579291,1.0,20012,59.674734023502026,128.94739647865575,26.78909822775738
20.442258097475076,5,582,60.620356479565736,1.0,24014,62.61654298648229,147.5263774859063,26.94124440950806
21.91340807098502,6,555,63.51349519400127,1.0,28016,65.73435244760707,156.85957741733063,26.838452664208436
23.25627868924981,7,528,66.78417240853179,1.0,32022,69.26562367401868,166.88688251917222,26.93204995352341
23.997925790328743,8,510,69.29923999328446,1.0,36042,71.9837974439384,212.09106436318544,26.929667435329286
25.544133460704824,9,494,71.22407691733608,1.0,40048,74.09620188054528,268.32050142980245,35.462164908990616
23.886387932243153,10,490,71.8110336461686,1.0,44050,74.68646739056095,193.57594000944715,26.89232145259617
24.48297707399185,11,471,74.61078901451496,1.0,48051,77.72586891460332,175.7650325077428,35.68886223613936
25.721012947179542,12,458,76.7062174937357,1.0,52053,80.02549969984211,268.26477736879144,35.60909442108317
24.784349492519183,13,440,79.9226949898527,1.0,56062,83.49775069323935,175.49318499663804,35.505893118640984
26.46570491774173,14,431,81.45406406291403,1.0,60066,85.20963236239005,222.3459009657337,35.55694209431706
26.066007460026576,15,430,81.5782898979542,1.0,64068,85.33569957276333,212.6756605283727,35.64131910946563
29.51098434953298,16,417,84.0437634806808,1.0,68074,88.12884064404638,231.44355100817808,35.367054308250715
27.20639471149012,17,414,84.70706094966677,1.0,72079,88.78519183807256,212.8270411674916,35.6961785380196
28.611033687756812,18,403,86.88483805589254,1.0,76083,91.2129600899681,220.73491041378497,35.75862947187137
29.156489225463027,19,399,87.62104159462362,1.0,80083,92.04092739801109,194.27205338280467,35.927073207957385
31.433621265055216,20,392,89.14069803766367,1.0,84085,93.78015786811252,287.43239582208247,35.72547067087188
29.342935350732056,21,400,87.41723702694031,1.0,88085,91.81885886541131,239.80265865835256,35.851108698353315
29.768360853293178,22,388,90.11506000909633,1.0,92089,94.80084471999683,259.1093826221388,35.4670294170516
31.083179432553223,23,388,90.11497318867625,1.0,96095,94.8433773164681,240.56209166852446,35.738008832250664
29.12481682145111,24,396,88.42033525789451,1.0,100100,92.91343851003812,230.83702293333712,35.48856129502229
30.91608995476887,25,390,89.6333332948336,1.0,104104,94.3065468933897,230.36207042621677,35.66179911062939
31.6279412474182,26,376,92.85662659188283,1.0,108109,97.88966162289917,221.6324552258614,53.99911859823494
29.78424193340806,27,390,89.6657741491507,1.0,112111,94.30240659615163,306.1985815728726,35.93824051768172
30.557718508470554,28,384,91.0952654951747,1.0,116119,95.9059537179398,257.52042270421737,44.663701698864735
31.743130752383788,29,386,90.77238104452616,1.0,120134,95.58765617427113,240.94142109074386,44.89358581890079
29.688490387192402,30,381,91.74280613997612,1.0,124138,96.59506708150731,202.37564414127385,44.73595685771734
33.24835616108732,31,380,91.87333202802719,1.0,128142,96.85054309573255,277.7631580289586,54.17970406597854
30.135632812891707,32,382,91.39588309361541,1.0,132142,96.22416058151211,239.18821889431374,44.49526848234434
28.48347007847351,33,378,92.38251883436081,1.0,136142,97.26365786991953,222.0695061378633,54.38067433912881
30.88738519024946,34,384,91.04080746368066,1.0,140148,95.85711759754565,213.21125599279134,45.20460872633487
30.249715990069326,35,378,92.38269784990764,1.0,144149,97.31785055422534,240.7582666378111,44.84221984360002
33.38508917976222,36,375,93.07415432705643,1.0,148157,98.18638380163935,303.39637791560176,44.62324157069756
33.32573924557702,37,369,94.45646814508032,1.0,152162,99.7160531425293,297.05482739313413,44.697818628068745
30.694480787008114,38,375,93.22605789443311,1.0,156170,98.26367587026297,231.28815223647072,54.29173314148095
31.65839905614862,39,372,93.81012656667856,1.0,160173,98.94161092158076,248.8320922294911,44.89518188039513
32.35879521861529,40,371,94.23595780450252,1.0,164186,99.43788126389045,249.0608945973688,54.004110416605194
32.09275963091016,41,375,93.12121942129623,1.0,168192,98.1928443034208,286.94267294337266,44.86343109666142
33.031422332399565,42,378,92.29909110876245,1.0,172197,97.31776888454368,267.9892629493692,35.954496811581784
32.3869102815568,43,386,90.39550815860818,1.0,176199,95.1976685883162,230.12753412778494,35.85619451364082
30.661126962691018,44,395,88.59718387100722,1.0,180207,93.15895189851084,258.73306908385496,35.867719769711925
31.87327583682692,45,387,90.16974147054175,1.0,184208,94.9319509952658,220.7029719097623,35.8770265471644
32.41149047630322,46,392,89.14121600127625,1.0,188215,93.81647054215404,230.7370327556996,35.74882741015927
32.25156390547184,47,381,91.5132585348314,1.0,192216,96.42669773420906,222.2940051770294,36.007086701470044
34.33858053638164,48,383,91.11286254186054,1.0,196221,96.05256547649039,315.7778352433251,35.717472178641664
34.84609792217471,49,374,93.12001801670878,1.0,200223,98.29283349043233,266.935260108699,35.58773355630987
33.38361861606299,50,381,91.49894687257463,1.0,204224,96.44674618056231,267.2392430163997,44.99349068404949
31.24691797366727,51,373,93.48289730528353,1.0,208225,98.56696955868539,267.06206805134815,35.753745009080745
35.50087094476686,52,362,96.36305416792068,1.0,212238,101.9078538941232,268.5670490091234,45.08181567610301
33.43955199792575,53,365,95.35443221033341,1.0,216238,100.71455793291628,278.2435417398664,44.75545656314747
34.43126443838003,54,360,96.70976787209172,1.0,220242,102.25279999050709,258.7392499973393,54.0268699422629
32.669328017595284,55,372,93.75658080941959,1.0,224245,98.91507658591206,295.57140494100184,35.73209386557669
34.55599109623401,56,366,95.13092215360147,1.0,228245,100.50331985490271,267.93377117185616,45.278774037391145
34.72833929299753,57,364,95.8369285804549,1.0,232256,101.2908510501049,306.35887520926775,54.014415230796466
39.265463069670936,58,346,100.20635794102776,1.0,236257,106.33116522172817,278.0654704014995,53.87307965056819
34.583171032430656,59,360,96.7483085361723,1.0,240263,102.30072866131529,285.4718253342056,35.99306396069925
36.212005026168725,60,356,97.68938861252349,1.0,244267,103.40922337757021,265.70110607555375,35.73433118997706
37.36691354280523,61,352,98.63424544948329,1.0,248270,104.5068824786231,286.2985798719516,35.86458269507703
34.643853717896754,62,364,95.62123011053998,1.0,252273,101.05334758256768,249.11511826394917,35.758052931912374
38.27522995556943,63,351,98.9870466645619,1.0,256280,104.9325583857839,292.99994483905607,45.21357201671263
38.75575567783959,64,353,98.63864181465014,1.0,260294,104.56339484639992,286.2268929652671,45.033749939468095
39.21976780281091,65,351,98.75706610856676,1.0,264294,104.71634488565498,268.06719890936796,45.06213696610122
36.95943015705215,66,356,97.54852211121724,1.0,268295,103.27664710526263,315.2038073052912,45.085777158191966
36.27664161564348,67,357,97.42986089614598,1.0,272303,103.12589235148936,258.78006866057063,54.01791906350374
38.361195716067506,68,344,100.95151869329193,1.0,276311,107.13024230600223,250.084592169446,45.094528848785544
35.06737051503561,69,360,96.75938797433503,1.0,280319,102.32755560070751,341.9682784320755,54.46663017723002
38.58467348793768,70,355,97.86823731879386,1.0,284325,103.69479143380141,360.93258852886703,45.097417754054675
37.0581103074566,71,359,96.88458892204619,1.0,288333,102.5462540483963,351.00959291339865,44.417379163588464
38.48089926095167,72,355,97.8323105987197,1.0,292337,103.65590487152784,303.99441182025475,54.37216103894789
36.920701721139494,73,354,98.53925442192461,1.0,296359,104.38522125382818,240.73232639900397,45.44188471204951
39.749296683703,74,347,99.92180918471946,1.0,300362,106.03574019791633,268.8646128938623,36.00669634226148
35.41377069118069,75,355,97.93344068289886,1.0,304367,103.65513666749247,229.96141017561627,45.194000956949736
35.919000800252476,76,357,97.44467636424183,1.0,308373,103.1266437382281,257.7925769403582,44.97679930705491
37.55796364118868,77,348,99.74908450092262,1.0,312378,105.75811949619174,267.0595105640389,53.912347555325546
36.64230336289538,78,344,100.86225171253811,1.0,316381,106.96466572536016,259.32983848855343,54.78234201088297
37.317485576766394,79,347,100.09983685209507,1.0,320388,106.1380735730958,286.10379335162946,54.160769362968544
34.97605011125576,80,350,99.46756540637217,1.0,324398,105.34078401459836,276.71457078745453,62.93598715827612
38.67909265163669,81,353,98.48826959591891,1.0,328406,104.3899287404286,324.536928546292,54.45321565727212
37.23462091566398,82,348,99.7340370491329,1.0,332407,105.72609659294477,257.829170978785,44.983289903080255
36.27990421998842,83,352,99.12759091635586,1.0,336428,105.01146994775604,258.7434919655001,44.46211787909589
42.595165271389135,84,332,104.36766396044113,1.0,340441,111.12956345471115,324.3336779354123,63.0715894805929
35.81690024275435,85,358,97.28379465392446,1.0,344450,102.94333976748277,267.3803001119017,63.0303008349822
40.837973671340386,86,337,102.81035026269139,1.0,348456,109.30604533513392,350.4670048368167,54.29103758980989
35.40893548656963,87,348,99.7048316799807,1.0,352456,105.62434209384513,295.24404335094454,62.67454809618346
36.70382585518585,88,340,102.01770473199966,1.0,356459,108.25751009009225,249.66937901578007,54.31350206370338
40.44819113023935,89,327,105.88427840825972,1.0,360467,112.74241027265104,277.40433464123055,54.302790008577006
40.14096582202027,90,335,103.7266960891746,1.0,364486,110.30673047249897,294.60104105576903,63.60790706174276
38.1569872803604,91,340,102.07952884482926,1.0,368493,108.3817940449057,266.6140793025473,63.665607589916426
40.05570410712896,92,338,102.55439365454527,1.0,372498,108.98906665155602,283.8366185619428,62.861946004971486
38.174611007091144,93,343,101.29290982692952,1.0,376508,107.50146226366492,267.7409921700878,54.22647943270665
42.06545062267413,94,336,103.05460122714406,1.0,380513,109.63312228642822,305.9606839031562,63.42403645714684
39.317106610548066,95,342,101.28834653046844,1.0,384514,107.54480847203432,285.85738257917114,44.96293558474184
38.13550050910978,96,335,103.37802620765159,1.0,388516,109.83552152702559,268.48795921388734,63.661397128083706
39.022578969883796,97,342,101.45220712566707,1.0,392523,107.71593758876467,303.03694185045725,63.67503048587486
35.89486473539097,98,343,101.12714014460587,1.0,396524,107.23150205213625,257.6698845075712,63.27812980857676
37.22616468187394,99,337,102.88858742494314,1.0,400529,109.2527712015551,267.3987134311103,63.85509171008778
38.874237069336615,100,337,103.01222847825179,1.0,404539,109.44969755598736,312.09842320199385,63.36569375730858
39.34697918759369,101,337,102.92870350664616,1.0,408546,109.37587522350007,314.2764891251271,64.01040485131811
37.47726276175525,102,348,99.82911527148525,1.0,412552,105.83984736054295,304.76157294076086,54.38958918850496
39.008735553064426,103,345,100.60467330941091,1.0,416558,106.76534565948616,305.78656212629755,44.818517234507745
44.51685909320229,104,327,105.89935015007018,1.0,420572,112.9385262987494,277.9209335328425,63.231167100670696
37.94072231679197,105,339,102.42408987796219,1.0,424581,108.75892785218365,304.0215254902461,45.03780907787785
41.04992786684544,106,330,104.87095052897061,1.0,428586,111.62614896781193,295.55233849697504,63.713151587461
36.74253733212765,107,338,102.74533221656537,1.0,432593,109.06589715550597,332.8989415625695,63.46813564013666
36.69346915293482,108,344,100.95521896636642,1.0,436598,107.06475402093379,313.99944678292917,63.78041280109126
39.18815061727933,109,335,103.3427023342854,1.0,440598,109.83706436843217,267.4781452535437,63.6779167462172
34.19738906619274,110,346,100.54204234370579,1.0,444605,106.51364614474794,267.21649704341047,62.98087069971955
36.8113425068299,111,338,102.77127627511118,1.0,448613,109.10071887703299,259.45963286385705,63.8811345444032
40.7591713742603,112,334,103.6394386982675,1.0,452615,110.23267857279639,265.8951725432059,63.39783477246794
40.76102544984162,113,334,103.7556563360421,1.0,456623,110.36262495926279,305.85264727050406,63.734158794478944
40.11546343209391,114,337,102.91963048455348,1.0,460631,109.39610066397157,332.01735115504965,63.713027400351535
35.46774133455542,115,346,100.49722350659975,1.0,464637,106.5071530315512,284.91807121896386,63.6038156243855
40.554728359527985,116,329,105.65327599163952,1.0,468657,112.480525325985,286.21266867925743,63.89914514020675
42.59080902222871,117,326,106.12653617794663,1.0,472664,113.09787946802568,324.82015167390017,63.477209851992924
41.94652483055534,118,333,103.92684662307602,1.0,476669,110.60911182992207,269.0206708234264,63.81708898341595
