Evaluation/NumEpisodes,Evaluation/Iteration,Evaluation/AverageReturn,Evaluation/StdReturn,Evaluation/TerminationRate,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,TotalEnvSteps,Evaluation/MaxReturn
734,0,49.43464190930363,15.215189394425664,1.0,48.24462477546396,26.78367732576449,4006,109.44626729597925
677,1,53.60563889968026,17.727366827390817,1.0,52.16706071055219,26.802106450360185,8007,120.11426625711576
663,2,54.811709058302434,18.26795183052008,1.0,53.300624343605136,26.76200796093888,12010,119.36025099588342
630,3,57.71388656670956,20.44680022827599,1.0,56.00383534662657,26.77793094810589,16010,175.64042514557744
613,4,59.47492695107294,19.27561473132997,1.0,57.68727053063388,26.81967820447055,20020,138.78551560382942
587,5,62.11744721021653,20.13971106080365,1.0,60.157772545692666,26.90111375007425,24025,156.29199306652134
