Evaluation/MaxReturn,Evaluation/StdReturn,Evaluation/TerminationRate,Evaluation/AverageReturn,Evaluation/MinReturn,Evaluation/Iteration,Evaluation/NumEpisodes,TotalEnvSteps,Evaluation/AverageDiscountedReturn
156.77231923573788,15.375208286018452,1.0,48.9301861347438,26.74757600327679,0,743,4015,47.7617045216805
110.78100551953159,15.901200714785816,1.0,50.45475194582768,26.773916417061585,1,719,8018,49.2049719644026
119.50202082030448,17.76361546091448,1.0,53.37690238802529,26.77611505550367,2,680,12019,51.949791013497965
138.44848841609627,18.25871185243545,1.0,54.507165087605706,26.79305527728353,3,666,16019,53.01235953555003
174.33698755142956,20.46100907396113,1.0,57.47391509820585,26.818710768834578,4,633,20023,55.77622731816057
