Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/NumEpisodes,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/Iteration,Evaluation/TerminationRate,Evaluation/AverageReturn
15.445944688261035,47.440625611565274,26.745572732464062,745,127.91717495381698,4000,0,1.0,48.59485486979495
15.511951291135665,49.10187768406406,26.76686287968522,720,108.81637127923209,8001,1,1.0,50.3402620349976
17.983474162570943,50.84456506191182,26.748115331397884,695,156.95463135396136,12004,2,1.0,52.21691731616512
19.01979664130443,52.869782557512465,26.830346429233497,668,166.91316531697163,16004,3,1.0,54.371085312915255
19.69558451426586,55.08027337475269,26.754559695755987,642,156.55182118303412,20012,4,1.0,56.721217302655646
21.18739207496515,57.74417347167741,26.82301261425672,611,201.991699569143,24015,5,1.0,59.5757225954947
20.34478166030584,60.82009757218943,26.86648334699743,580,129.02098017401514,28015,6,1.0,62.82670508544247
22.882517303804274,64.2076406768787,26.886477426167886,549,157.24090086321567,32018,7,1.0,66.49872095302926
22.153636169096835,65.21634313402498,26.826215527005253,541,164.82132745081933,36025,8,1.0,67.56077415011144
21.53001628301797,66.67966391118078,26.843752266090753,528,193.64013583310043,40025,9,1.0,69.11362602387115
23.636685339271917,70.13089185211582,26.79335895688463,502,174.375257283056,44029,10,1.0,72.871276952125
25.468560959744668,71.67932202148748,35.42769753079014,491,174.96348424763858,48036,11,1.0,74.5870156258959
24.41760145785987,73.51969389602267,35.35551212486795,478,183.8896518488612,52037,12,1.0,76.54570822889696
26.805276842718285,77.86746363032596,35.63879531449406,451,221.8620636283867,56041,13,1.0,81.31799802387276
24.935617833832673,77.93301798097245,35.64405653353258,451,184.49862187877812,60047,14,1.0,81.33924042867282
27.770725776758407,80.76851304462448,35.41490696824422,434,249.82369599860473,64049,15,1.0,84.50027831481097
27.543482646090368,81.34402682443749,35.64948524935066,431,212.7680978794571,68051,16,1.0,85.12145422326714
25.644365177684392,81.96817710293,35.57498608933366,429,269.18926066340134,72063,17,1.0,85.74792550593973
28.4758602743602,84.47597652402933,35.8599105891193,415,250.19493007162745,76068,18,1.0,88.56868659378273
26.024049676864777,85.89095113445323,35.584054005415894,408,211.02707443904558,80070,19,1.0,90.04859578667526
28.731009409905507,87.49497436584194,35.685679716853414,401,229.64977083722778,84083,20,1.0,91.88779878883645
