Evaluation/StdReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/AverageReturn,Evaluation/NumEpisodes,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,Evaluation/Iteration,Evaluation/MinReturn
10.810718032975249,4003,1.0,41.64137769656579,866,41.24205684782253,100.91602586392642,0,26.72403661784803
20.205451110946953,8011,1.0,62.393954004965074,585,61.394913505864366,146.38651517571415,1,26.855993922968096
25.929944749474178,12013,1.0,87.25867110355068,421,85.27166492575302,222.07464441808267,2,53.95864322559511
21.270025447092316,16020,1.0,88.25273374634526,417,86.27863110182807,222.0365918747714,3,54.689279842838225
26.195244884514977,20021,1.0,90.55275262029572,406,88.41707714959054,259.6463649708134,4,54.72864948341514
20.057364191846954,24032,1.0,89.67014973350426,411,87.64542806912229,166.37755131482416,5,54.884230355718636
22.821568618813654,28036,1.0,90.61262552048859,406,88.51533098874047,193.72129533217895,6,54.877907398561945
23.142548784643502,32037,1.0,92.39579904813637,398,90.21363965970401,249.3237963807951,7,63.782164680875944
22.685862646018684,36043,1.0,91.14345097171922,404,89.02417081599982,202.2034813123029,8,63.642271005560886
25.387942994923215,40047,1.0,96.39505832799037,382,93.99677986703838,228.90944512820147,9,63.593474600543004
27.241256854624943,44059,1.0,98.34319751247662,375,95.82450491383642,231.23754644853136,10,63.87663528840981
39.79117321531296,48065,1.0,107.76530503898412,341,104.54286749636978,249.20783616593667,11,54.127430183799845
21.35698263852612,52068,1.0,68.47318597681807,531,67.26449788968625,184.3735979465226,12,26.876978381455874
8.28732110445039,56070,1.0,37.61035953534565,954,37.299120207668395,81.69309651430439,13,26.726835734704487
4.789644051752455,60072,1.0,34.53156207742734,1036,34.284166026560854,54.801264820209525,14,26.743377561659237
4.5434470942491645,64075,1.0,33.88574379877123,1055,33.64907997053061,54.81940709579651,15,26.718619481361692
4.737248509207535,68079,1.0,34.156003171554936,1048,33.91481012522231,63.327697906129906,16,26.73244149305815
4.5277613057300865,72081,1.0,33.65299722889468,1062,33.420052534068574,53.9457625706773,17,26.722705797786396
4.414744864205547,76083,1.0,33.86631651396508,1055,33.63019000888046,53.7999257988146,18,26.723031653888825
4.460200969014576,80084,1.0,33.48834885158373,1066,33.25790795999718,45.5392543303205,19,26.755458497610896
4.331538211066006,84084,1.0,33.199474120222256,1074,32.973617393167586,53.96815384619388,20,26.72331339209041
4.402727287933104,88084,1.0,33.231786477011134,1074,33.00550906653931,45.54169585644732,21,26.71474987353594
4.259773092032449,92084,1.0,31.32226602851524,1134,31.123942289546033,45.440860891165144,22,26.741430034347374
4.169524230766609,96084,1.0,31.268770638511874,1135,31.071250856967833,35.415196915707554,23,26.734832815897022
4.423013096805559,100087,1.0,32.085042005246265,1109,31.875331923423328,45.39385991148428,24,26.705297555089153
4.447500748751026,104087,1.0,32.11669570812255,1108,31.90662865735534,45.51314741975389,25,26.73396263339997
4.327955549944621,108089,1.0,31.58281679054902,1126,31.38068220301207,53.966887625597664,26,26.727959659182183
4.172033983691775,112092,1.0,31.19040528785858,1139,30.994068121986977,35.429795512593905,27,26.721475905412333
4.27528096736315,116093,1.0,31.675301346355138,1122,31.471851849274252,45.02584628973547,28,26.729657929433365
4.357548861966492,120095,1.0,31.96992873908166,1113,31.76213948862674,54.32451382613035,29,26.69881244269539
4.27812410609752,124095,1.0,31.548888377957827,1126,31.347259353343333,45.33467994765937,30,26.737433116993138
4.174708411986648,128095,1.0,31.089681826235307,1142,30.894831587569744,35.41720773772766,31,26.703993804029253
4.309964796765603,132097,1.0,31.494984565365307,1129,31.294169743505087,45.543907979686836,32,26.73329992132407
4.33051116639799,136099,1.0,31.372523553675805,1134,31.173572470362707,45.481009014568365,33,26.718264371566654
4.414515360956413,140102,1.0,31.78036669126681,1120,31.575278171004527,45.17262155366302,34,26.717003390299013
4.166697693321088,144105,1.0,31.265744620672145,1136,31.068283757335124,35.42051090777848,35,26.736433221432904
4.342845571746913,148107,1.0,31.840695920257044,1117,31.634756247248944,45.60836657841144,36,26.726822709026976
4.352483315170282,152109,1.0,31.476854995029772,1130,31.27627819395836,45.58124165964311,37,26.725161692389104
4.329773294616054,156110,1.0,31.611491765635915,1125,31.409030548168662,44.733145627122425,38,26.728201523492867
4.1737564610783116,160112,1.0,31.152685005463265,1140,30.956892337061255,35.4421643689935,39,26.715932476129865
4.3886914284244005,164113,1.0,31.421059476566104,1133,31.22145271738763,53.80312754331966,40,26.70484426011293
4.417530480513097,168114,1.0,31.54161750511097,1128,31.340058446126285,45.582523635992985,41,26.72317828928807
4.341828642076505,172116,1.0,31.45855840809084,1131,31.258339982606692,44.58747940087714,42,26.722739586639385
4.169814748163001,176118,1.0,31.231697857337792,1137,31.03474977902478,36.16368770835346,43,26.73172004823338
4.3460630171266565,180120,1.0,31.56772416673332,1127,31.36590455641017,45.58488290937298,44,26.719735164426503
4.45565352060166,184121,1.0,31.32380384946341,1136,31.125397700380834,45.49099210084064,45,26.72709441628215
4.3815315274504965,188121,1.0,31.351523151914606,1135,31.15293562082368,44.7724135442405,46,26.719544585615154
4.169072985539573,192124,1.0,31.265672023463505,1136,31.068205841016415,35.665954188590455,47,26.730705089017967
4.3387471826063235,196126,1.0,31.365388302679886,1134,31.166485443627614,44.83636854205872,48,26.716566573403803
4.38355585855958,200126,1.0,31.342933063825033,1136,31.144615007957313,44.56977393624743,49,26.719936064188417
4.287726558453418,204128,1.0,31.01862171747255,1147,30.82492133929745,44.52458201298782,50,26.72446218552327
4.16370646082552,208128,1.0,31.400445281240245,1130,31.20097224170347,35.61008062883778,51,26.727231724124263
4.356239829438302,212128,1.0,31.26778506220888,1137,31.070258017601383,45.482338640838016,52,26.719564706804857
4.396624997012783,216130,1.0,31.288342317548924,1139,31.090889876559707,44.723327307661265,53,26.721577704091988
4.294038264000952,220132,1.0,31.25812525218667,1138,31.06090964718518,45.57155230787206,54,26.702507902563564
4.1692982103457465,224133,1.0,31.248509875337685,1136,31.05130034896436,35.90835460793859,55,26.72027258738168
4.271266621315635,228134,1.0,31.191803939089432,1140,30.995585727812404,44.4426994373106,56,26.727221595065
4.418197729934245,232136,1.0,30.94024465126247,1152,30.74781542233089,44.643660175855864,57,26.72410097934499
4.3278811655912985,236137,1.0,31.150110000555365,1142,30.954451824713235,44.583427290982236,58,26.745388332064376
4.17374503111296,240138,1.0,31.098888671570638,1142,30.90392381961238,35.95896485958434,59,26.732010895900977
4.286151900568604,244139,1.0,30.868270182608004,1153,30.676872123487477,44.568376463425224,60,26.72098861225087
4.419437214623924,248140,1.0,31.0370699446635,1148,30.843204529332876,45.436498386020844,61,26.722459173856045
